True_Label,LogisticRegression_conf,LogisticRegression_pred,RidgeClassifier_conf,RidgeClassifier_pred,LinearDiscriminantAnalysis_conf,LinearDiscriminantAnalysis_pred,ShrinkageLDA_conf,ShrinkageLDA_pred,QuadraticDiscriminantAnalysis_conf,QuadraticDiscriminantAnalysis_pred,RegularizedQDA_conf,RegularizedQDA_pred,LinearSVC_conf,LinearSVC_pred,SVC_rbf_conf,SVC_rbf_pred,HingeSGDClassifier_conf,HingeSGDClassifier_pred,LogLossSGDClassifier_conf,LogLossSGDClassifier_pred,PolynomialSGDClassifier_conf,PolynomialSGDClassifier_pred,GaussianNB_conf,GaussianNB_pred,DecisionTreeClassifier_conf,DecisionTreeClassifier_pred,FullDecisionTreeClassifier_conf,FullDecisionTreeClassifier_pred,RandomForestClassifier_conf,RandomForestClassifier_pred,KNeighborsClassifier_conf,KNeighborsClassifier_pred,BaggingClassifier_conf,BaggingClassifier_pred,AdaBoostClassifier_conf,AdaBoostClassifier_pred
Graduate,0.03479311738811275,0,0.05340034416126267,0,0.009284634759564758,0,0.03928063339443211,0,0.0005043665515498567,0,0.005562583551253709,0,0.06642261232731925,0,0.02040382208745883,0,0.13148875041773328,0,2.7835160354428012e-06,0,0.2706792767922416,0,0.008029921327275868,0,0.2290668154093673,0,0.29151674969854124,0,0.03,0,0.09899050473462292,0,0.083561269729159,0,0.08611305387698917,0
Graduate,0.0510815514885371,0,0.0954194035353146,0,0.025298290888997155,0,0.07716297985739351,0,0.0005700027626294833,0,0.007078420514078143,0,0.09307810427208688,0,0.04604393605442085,0,0.1280127796340726,0,0.0027817563984968707,0,0.26485298157690024,0,0.012212148324792832,0,0.2290668154093673,0,0.19647237263991799,0,0.11,0,0.19967379253350334,0,0.073814740295057,0,0.13534232462957635,0
Graduate,0.4245961240796128,0,0.4108482138317372,0,0.27648744882985954,0,0.29141814727943627,0,0.9891251061087375,1,0.7070693739322892,1,0.35265537519837054,0,0.6032399459781699,1,0.3557387791253583,0,0.8764887891839862,1,0.43038725788884663,0,0.9974156297455048,1,0.2290668154093673,0,0.19647237263991799,0,0.42,0,0.6531484882307064,1,0.25747130600327534,0,0.35722028359740543,0
Graduate,0.08867476534043173,0,0.12544487814803826,0,0.037570808407586864,0,0.18559368700154177,0,0.8077045938580585,1,0.34543678225493846,0,0.14939268423571503,0,0.42899441604894883,0,0.21192446650946833,0,1.928459917310832e-07,0,0.32441705839813295,0,0.8637653634347715,1,0.2290668154093673,0,0.30637536469803395,0,0.22,0,0.19967379253350334,0,0.16605045921344214,0,0.13226203085173965,0
Dropout,0.9941719788902715,1,0.9076129437726592,1,0.9451829127274222,1,0.8353564286071777,1,1.0,1,0.999980778265102,1,0.9634382911244082,1,0.9713587386006755,1,0.9365905796249656,1,0.9999999999987662,1,0.6887977220402621,1,0.5825480731759738,1,0.826325215420226,1,0.6966880450003393,1,0.94,1,0.9433626377200515,1,0.9199608135693336,1,0.7017122075418258,1
Graduate,0.5842153389538816,1,0.4607751346358281,0,0.3292633919285435,0,0.11835505622366738,0,4.2860652132027774e-05,0,0.002452263878074807,0,0.49631514851886394,0,0.4244042412391908,0,0.28387853433389526,0,5.630984167837028e-07,0,0.7417747283923125,1,0.00015165178812345288,0,0.2290668154093673,0,0.48464030118780066,0,0.32,0,0.3617688055348963,0,0.46103775967665495,0,0.14453029466456385,0
Dropout,0.9597440638593719,1,0.9559755614633796,1,0.9826299164686528,1,0.8715085250377383,1,0.9999643040538677,1,0.9240480974071731,1,0.8832828125865839,1,0.9757895606170539,1,0.7428967025576655,1,0.9998758057797924,1,0.5369742248705835,1,0.6340904355877531,1,0.2290668154093673,0,0.3845395706188093,0,0.75,1,0.6806193621465908,1,0.698220985740678,1,0.6703243218732023,1
Graduate,0.13172368464779727,0,0.12145834485049642,0,0.032738454207043355,0,0.08358646949330817,0,0.002011057905718196,0,0.023984591970645164,0,0.1690957484999764,0,0.12269367766998865,0,0.2609803118947646,0,0.004262487566521811,0,0.34534928040050233,0,0.05867597098166324,0,0.2290668154093673,0,0.19647237263991799,0,0.2,0,0.40700912256905974,0,0.14423897221759796,0,0.28787568598915025,0
Graduate,0.2932824378443363,0,0.27998490430346823,0,0.14875541481405308,0,0.16507798457092415,0,0.000817469916191932,0,0.01626275473778557,0,0.3052348009272462,0,0.17843914714638187,0,0.3227823664802272,0,0.05133154616090074,0,0.3279442158745244,0,0.019214690564321894,0,0.2290668154093673,0,0.19647237263991799,0,0.08,0,0.14552490075018015,0,0.073814740295057,0,0.16258608836152727,0
Graduate,0.03427228714551267,0,0.056687432241421164,0,0.010761386992575228,0,0.04535876002207706,0,0.000539559784190292,0,0.005735384692450201,0,0.07106024690910531,0,0.015526904055421677,0,0.1208667364386731,0,0.00019612642940469716,0,0.2940695164714685,0,0.0029905040012283774,0,0.2290668154093673,0,0.19647237263991799,0,0.01,0,0.15543209381124862,0,0.073814740295057,0,0.11911017487885005,0
Graduate,0.37237711678791585,0,0.38486070498722447,0,0.24813581664461348,0,0.27666257908704484,0,0.006864252654113458,0,0.06343995202410367,0,0.34546684459059157,0,0.2770448514417463,0,0.361905652424108,0,0.511042862585886,1,0.3663162953797817,0,0.04512438087429203,0,0.2290668154093673,0,0.19647237263991799,0,0.06,0,0.19817483011759343,0,0.10077504446916703,0,0.22888256557271247,0
Dropout,0.6885330138091086,1,0.6525743620606118,1,0.6369304079508917,1,0.5893024381974168,1,0.015835741560770743,0,0.41321584336021716,0,0.5850543527326475,1,0.08711703227238844,0,0.5279618385953337,1,0.9999994711372043,1,0.04829923003115879,0,0.32083912288673183,0,0.826325215420226,1,0.19647237263991799,0,0.28,0,0.17395130956597085,0,0.23429496206725914,0,0.2945741892614341,0
Graduate,0.04605526586136688,0,0.11517758079905624,0,0.030888964625308213,0,0.08314841392925243,0,4.658703325310075e-06,0,0.0032414908908362703,0,0.10083417134746189,0,0.09520931954604046,0,0.10971928824994477,0,4.510271283120204e-07,0,0.3367148999514553,0,0.06618884388133923,0,0.2290668154093673,0,0.29151674969854124,0,0.08,0,0.2063331928158365,0,0.18552674595930957,0,0.09257676577438076,0
Dropout,0.96631222922571,1,0.8153205217391701,1,0.8691941129989693,1,0.7159607853945757,1,1.0,1,0.9996402308270824,1,0.8737206366665975,1,0.8344824182948537,1,0.7423362620106777,1,0.9999999678646838,1,0.7066388634075607,1,0.9992807032246311,1,0.2290668154093673,0,0.40852011645245667,0,0.62,1,0.6635701654017254,1,0.7513231207194095,1,0.7131614304255588,1
Graduate,0.7078351854078044,1,0.6091923600638902,1,0.5640606246469927,1,0.5662563353322729,1,0.004250204616880001,0,0.5855586590215696,1,0.5452359779887248,1,0.30393212747115295,0,0.5104871975937358,1,0.9999999990885463,1,0.2974032161677632,0,0.7117131197501834,1,0.826325215420226,1,0.6036652240800712,1,0.5,1,0.19382284417204762,0,0.603510516055462,1,0.3272768164356015,0
Graduate,0.0613490435180829,0,0.11341538051752094,0,0.031576895318026876,0,0.07373430755726107,0,7.68107041431481e-07,0,0.0016400460558913285,0,0.11482254810925878,0,0.07221543208966753,0,0.14002322999248062,0,6.838315894963642e-05,0,0.27933594737795386,0,0.006452551964020987,0,0.2290668154093673,0,0.19647237263991799,0,0.05,0,0.09899050473462292,0,0.083561269729159,0,0.0890961010143438,0
Dropout,0.9938507538114615,1,0.919207328952129,1,0.9574111177820114,1,0.8776460984769938,1,1.0,1,0.999994160481627,1,0.9557846737054987,1,0.9374701508272106,1,0.9162821019611294,1,0.9999999999971826,1,0.8014959118485419,1,0.8576105433002286,1,0.826325215420226,1,0.6966880450003393,1,0.89,1,0.9433626377200515,1,0.9199608135693336,1,0.6738666434663853,1
Graduate,0.00504475333393728,0,0.0565442139771392,0,0.010252740442093566,0,0.039618498694028226,0,0.09941057666668777,0,3.1858380063988345e-08,0,0.021487430919799478,0,0.20899586996177122,0,0.029271601564592097,0,7.477849098824763e-07,0,0.15756710454278716,0,0.5054881389759119,1,0.2290668154093673,0,0.28949519356018605,0,0.36,0,0.19967379253350334,0,0.3961403235853169,0,0.057397780833014944,0
Graduate,0.07589222178447497,0,0.09924897030500386,0,0.025762350294142866,0,0.08880116524126991,0,5.328447995600415e-06,0,0.0016834085210345978,0,0.1337114117248168,0,0.11247497899494135,0,0.18496765941384236,0,4.446751098452495e-06,0,0.3077642863448049,0,0.0026265007986161592,0,0.2290668154093673,0,0.37473730912968467,0,0.22,0,0.19817483011759343,0,0.1613933266605141,0,0.1127875556628876,0
Dropout,0.957178964853434,1,0.9348486170661803,1,0.9699056859248172,1,0.8268559478859413,1,0.9989511890991939,1,0.7350941102349127,1,0.8746788336050013,1,0.934949560569885,1,0.7556891737739054,1,0.9999922864870588,1,0.4446716285554134,0,0.5432007861267812,1,0.2290668154093673,0,0.6966880450003393,1,0.68,1,0.35035405215477383,0,0.7240789972041506,1,0.813054987354507,1
Graduate,0.05017075843502783,0,0.07157702050589002,0,0.014459053297909086,0,0.05641855932905515,0,0.0004006930274956872,0,0.010279671150260721,0,0.08520040951599342,0,0.04625623401149026,0,0.1479554127502181,0,3.843693929894698e-05,0,0.2597938523587773,0,0.02696265901007008,0,0.2290668154093673,0,0.3134757393938335,0,0.22,0,0.3655580152960212,0,0.11839211469702275,0,0.13293499248490806,0
Graduate,0.015925593278947714,0,0.033610795380849566,0,0.004919565204090315,0,0.03293018642817669,0,3.328086590263302e-07,0,0.0005918395683669971,0,0.04480056629148164,0,0.01838629167572733,0,0.08922281355903965,0,1.170956271057122e-06,0,0.27147480896599846,0,0.0016101807288156197,0,0.34943344456371944,0,0.19647237263991799,0,0.07,0,0.09899050473462292,0,0.18614659680456896,0,0.061827483731276264,0
Graduate,0.005806733779476381,0,0.024796410899859532,0,0.0029803308742860635,0,0.02054593758629153,0,1.17473250423355e-06,0,0.0005695874520628213,0,0.025949437207057603,0,0.017558609484983535,0,0.04361725348077492,0,6.142005126719141e-09,0,0.29097521800181436,0,0.002453867043123669,0,0.2290668154093673,0,0.19647237263991799,0,0.03,0,0.23962593739063193,0,0.0833505451920226,0,0.0747711722467557,0
Dropout,0.050174500675137956,0,0.08697402653797011,0,0.020143779188828703,0,0.06536536167225104,0,5.228428336985158e-06,0,0.0027230751810942656,0,0.10209150481359304,0,0.08835031629409774,0,0.14567205690514357,0,2.5694292966838006e-05,0,0.30156742884558047,0,0.01027747675839859,0,0.826325215420226,1,0.6966880450003393,1,0.5,1,0.09899050473462292,0,0.7161138164798841,1,0.2429683469270077,0
Dropout,0.9982095792541956,1,0.9871004568194225,1,0.9976329500529688,1,0.9664887519206748,1,1.0,1,0.9999817419747812,1,0.9845802796136323,1,0.9914252213117899,1,0.9604759346608691,1,0.9999999969647315,1,0.414030261778129,0,0.9993283319746338,1,0.2290668154093673,0,0.6016436679417161,1,0.81,1,0.9433626377200515,1,0.827286634622042,1,0.8676059595089601,1
Graduate,0.410875799137866,0,0.38300208076513814,0,0.24982269269405777,0,0.25649893576393745,0,0.005773699256755214,0,0.08066676490370156,0,0.3712750647576429,0,0.4441736632669279,0,0.4284981134331877,0,0.17827010613664362,0,0.37207122057802905,0,0.13127723634068614,0,0.2290668154093673,0,0.19647237263991799,0,0.25,0,0.16791292533801933,0,0.20402693272681022,0,0.26311086293193053,0
Graduate,0.01653589263573141,0,0.029823865212257772,0,0.0038763981175609086,0,0.025086150193681322,0,1.0101294835944227e-07,0,0.00027860555429676953,0,0.0489033734084872,0,0.014506745227968881,0,0.09764618090406552,0,1.0794296068095122e-07,0,0.24598693582467074,0,0.0026820810729781064,0,0.2290668154093673,0,0.19647237263991799,0,0.03,0,0.09899050473462292,0,0.10120405778960895,0,0.046564836495856146,0
Graduate,0.015391893946089308,0,0.03421738042489273,0,0.004822909347114823,0,0.03388833476675135,0,3.214818524184048e-07,0,0.0010676833828527927,0,0.04844469112566081,0,0.04811903707789079,0,0.08465083196676208,0,9.189948202426024e-08,0,0.2867205334176627,0,0.004317856879903305,0,0.34943344456371944,0,0.19647237263991799,0,0.1,0,0.09899050473462292,0,0.1521249083116914,0,0.10629571057734262,0
Dropout,0.9995666884147179,1,0.96679932366748,1,0.9899655164099532,1,0.9588198612010078,1,1.0,1,0.9999999954555254,1,0.99290228521257,1,0.9837798281711286,1,0.985134125334364,1,0.999999999999991,1,0.7523655790310044,1,0.9997511713717342,1,0.826325215420226,1,0.6966880450003393,1,0.96,1,0.9433626377200515,1,0.9199608135693336,1,0.958341223848582,1
Graduate,0.060687508177616145,0,0.08390725393780914,0,0.01937184472382303,0,0.07602496077486809,0,1.392252788997011e-06,0,0.002192333482260307,0,0.11899608812687139,0,0.12698376352845592,0,0.15563361905187784,0,6.191617766382329e-06,0,0.34487369897519005,0,0.0052156555900720845,0,0.2290668154093673,0,0.19647237263991799,0,0.06,0,0.19817483011759343,0,0.08192172345854132,0,0.10690584921949027,0
Graduate,0.18630523892505968,0,0.23121812166010391,0,0.10957007081065284,0,0.15985636833615058,0,8.214749947224622e-05,0,2.1826721510655635e-06,0,0.2104421052132206,0,0.2623549351036564,0,0.16867265688333238,0,0.02155263807893626,0,0.2552383557963099,0,0.8086002240030534,1,0.2290668154093673,0,0.5184231085105726,1,0.43,0,0.32050786465288905,0,0.36316374352534037,0,0.1900671718534065,0
Dropout,0.02911259982805614,0,0.04580870792174034,0,0.006943728270854765,0,0.04335470999654212,0,0.007413337626294165,0,0.02115187015776268,0,0.07129772177029023,0,0.08025707525863876,0,0.13442773528799754,0,3.812321467466795e-05,0,0.2810279683639863,0,0.03299648523275497,0,0.2290668154093673,0,0.19647237263991799,0,0.23,0,0.3549073046620392,0,0.09757804083022222,0,0.10177148857262124,0
Dropout,0.9933157945441113,1,0.9038825864530488,1,0.9417572247057965,1,0.8160463923729621,1,1.0,1,0.9999525967879347,1,0.9616538869485887,1,0.9676327050831169,1,0.9390061954458637,1,0.9999999999929832,1,0.6353167895021026,1,0.6555860779478768,1,0.826325215420226,1,0.6966880450003393,1,0.78,1,0.9433626377200515,1,0.9104745634009926,1,0.6962029100854975,1
Graduate,0.02440410660705572,0,0.08190731839706722,0,0.016522820521066572,0,0.08511935961299988,0,0.5679998351373519,1,0.7986211237238982,1,0.063079451358106,0,0.10812979921988317,0,0.11207566466608765,0,7.085861575273356e-08,0,0.034145409463460764,0,0.9983577067098784,1,0.2290668154093673,0,0.19647237263991799,0,0.28,0,0.2409347334155106,0,0.1413722865170626,0,0.10288471711873722,0
Graduate,0.03546723558826248,0,0.06510845902842584,0,0.013565264386248832,0,0.046636934026072496,0,4.779107504296395e-07,0,0.0005699173335078947,0,0.08321029930959412,0,0.05975099429617468,0,0.10095045486696838,0,2.992434577353542e-06,0,0.352239078886279,0,0.006142935773891174,0,0.2290668154093673,0,0.19647237263991799,0,0.07,0,0.09899050473462292,0,0.1140278195304922,0,0.13314942889832182,0
Dropout,0.9150956648672781,1,0.7662364303375017,1,0.7788288634790542,1,0.6111776964125754,1,0.9991267743741163,1,0.0017275183383015915,0,0.8072224170430025,1,0.3445502676828071,0,0.5508918005755578,1,0.9999964557907267,1,0.35291998735663865,0,0.13030406792945454,0,0.2290668154093673,0,0.30637536469803395,0,0.31,0,0.1531393965179461,0,0.20446916658897848,0,0.5778590597408526,1
Dropout,0.01978609734750303,0,0.14002118020781812,0,0.03419851968608978,0,0.17297295454677997,0,0.056424210796513996,0,0.9954221048263397,1,0.06290355838110762,0,0.2869291952995482,0,0.04603492630159796,0,1.8375188676755805e-05,0,0.1400341640182355,0,0.9998412504658675,1,0.826325215420226,1,0.29151674969854124,0,0.31,0,0.695435090834548,1,0.2793811757533964,0,0.1292415828303758,0
Graduate,0.011101943155502614,0,0.03117975518361653,0,0.004216145688920481,0,0.031792352164405124,0,2.6190448172361456e-08,0,0.00022591420850128093,0,0.03969760381440588,0,0.01096958843084726,0,0.060565107772554104,0,3.100016805479555e-07,0,0.23270688696247,0,0.003572135349457853,0,0.2290668154093673,0,0.19647237263991799,0,0.0,0,0.09899050473462292,0,0.073814740295057,0,0.0369787557509756,0
Graduate,0.04169660351335913,0,0.1482244008231116,0,0.051870796521403584,0,0.1468705661247115,0,0.020364437871407685,0,0.008691774204909308,0,0.0874821852290449,0,0.09602838189748722,0,0.08726052774305773,0,0.000991351234389648,0,0.2458177710788406,0,0.12002020435388079,0,0.2290668154093673,0,0.37473730912968467,0,0.27,0,0.12416912077167833,0,0.30715495050890734,0,0.07927658092539584,0
Graduate,0.09278940205186814,0,0.1762708813625576,0,0.06712520983421866,0,0.1392000717415115,0,0.004640171741965064,0,0.01305178504539792,0,0.14556503313406813,0,0.10783222055638797,0,0.17284487726174352,0,1.2159481780571468e-05,0,0.3343352195594793,0,0.031173796891693858,0,0.2290668154093673,0,0.29151674969854124,0,0.1,0,0.09899050473462292,0,0.12749890627354646,0,0.17975049942962495,0
Graduate,0.03442538068434553,0,0.05791762286015421,0,0.011224187521553297,0,0.04666145453654058,0,0.00014764994339850184,0,0.004000481634103912,0,0.06822364958957942,0,0.014901853600542381,0,0.14136811634553287,0,0.00030214309716214416,0,0.28439274721687535,0,0.016353624533493556,0,0.2290668154093673,0,0.19647237263991799,0,0.01,0,0.09899050473462292,0,0.11031084936613264,0,0.051063633402369565,0
Dropout,0.9997162408386367,1,0.9916301886382568,1,0.998879048118167,1,0.9798328818130715,1,1.0,1,0.9999971759746014,1,0.9948610700373168,1,0.9607710828123792,1,0.9658121228540217,1,0.9999999999999998,1,0.7606249599783814,1,0.9999971470637288,1,0.826325215420226,1,0.6966880450003393,1,0.89,1,0.9433626377200515,1,0.9080885761391944,1,0.9124167399992599,1
Dropout,0.9345882775419887,1,0.9059531914924399,1,0.9433552872851367,1,0.8296756458941614,1,0.9839571774854964,1,0.8714523023227498,1,0.8347843232319864,1,0.9752793594340214,1,0.7057533718091286,1,0.9999901253584331,1,0.5449561849070015,1,0.5205158959612144,1,0.2290668154093673,0,0.6966880450003393,1,0.84,1,0.8807175439242917,1,0.8616493695360438,1,0.6346578382076041,1
Dropout,0.99996663053006,1,0.9970008478156414,1,0.9998261479124465,1,0.9958812117852468,1,1.0,1,0.999999998047689,1,0.9985726344849277,1,0.9866465610386703,1,0.995526509608591,1,1.0,1,0.8580830394475554,1,0.9999069588889374,1,0.826325215420226,1,0.6966880450003393,1,0.98,1,0.9433626377200515,1,0.9199608135693336,1,0.9845350975725224,1
Graduate,0.762028931630529,1,0.7382103822846677,1,0.7586089726190322,1,0.648451447269065,1,0.4759831013593697,0,0.9302987596034351,1,0.635344379039926,1,0.4376463417084593,0,0.5395349857570139,1,0.9999999946033222,1,0.6128327073151499,1,0.5514139616327599,1,0.826325215420226,1,0.5015429373727247,1,0.49,0,0.2859848840586428,0,0.3579146834515384,0,0.38495395229778173,0
Graduate,0.02545701819445223,0,0.08578797425659254,0,0.020236642465494614,0,0.07127320612403121,0,0.0045613935039959565,0,0.01108655079372571,0,0.06308903106280576,0,0.06113148962348862,0,0.08588834365884845,0,0.003678039378110398,0,0.25631422189760417,0,0.023717763303883477,0,0.2290668154093673,0,0.19647237263991799,0,0.18,0,0.09899050473462292,0,0.12956257274796495,0,0.13712126910600836,0
Dropout,0.30931296591468593,0,0.17157578876077045,0,0.06578400211368596,0,0.12860880373456574,0,9.820827745392864e-05,0,1.119223457478607e-06,0,0.272337239869113,0,0.17130599106519828,0,0.31487931385512297,0,2.1845348618931837e-07,0,0.0617819953665318,0,0.5287910774021275,1,0.2290668154093673,0,0.6016436679417161,1,0.45,0,0.19967379253350334,0,0.19915071753666658,0,0.06925723042546075,0
Dropout,0.988478002937476,1,0.9452253064717151,1,0.977393152494751,1,0.917934508429187,1,0.9999999999994016,1,0.9999912904673811,1,0.9365885162650993,1,0.9246700916535627,1,0.867233666142387,1,0.9999310253929806,1,0.4404920342079162,0,0.9998517832629226,1,0.826325215420226,1,0.49174067588360015,0,0.74,1,0.7189068950428215,1,0.6838295465803639,1,0.8637682927869973,1
Dropout,0.9996066966288157,1,0.9736907134445237,1,0.993402712960965,1,0.9770568408236682,1,1.0,1,0.9999999999831171,1,0.9940613893710774,1,0.9791549429545396,1,0.9888602087601788,1,1.0,1,0.8823690198634322,1,0.9999881582882509,1,0.826325215420226,1,0.6966880450003393,1,0.89,1,0.9433626377200515,1,0.9131364391055661,1,0.9688051172877715,1
Dropout,0.9654120269880057,1,0.7981690816206483,1,0.8161140362556228,1,0.7131045565132017,1,0.9999999991442243,1,0.9831899462423764,1,0.892744607851987,1,0.9573917228431721,1,0.8429808633291728,1,0.999998556361107,1,0.6496553369922333,1,0.3898974380820775,0,0.826325215420226,1,0.6966880450003393,1,0.82,1,0.7614837139815934,1,0.9199608135693336,1,0.876779485317579,1
Graduate,0.03190922406475827,0,0.05226827801040734,0,0.009556959937153997,0,0.0444914707332803,0,0.0004726740611288309,0,0.005109127922824524,0,0.06657635915670328,0,0.01370861629595572,0,0.13236848621245484,0,2.3146950423602597e-05,0,0.30723495581174864,0,0.0069778299488352956,0,0.2290668154093673,0,0.19647237263991799,0,0.04,0,0.09899050473462292,0,0.073814740295057,0,0.11578642134829528,0
Dropout,0.9382022309265634,1,0.838967543791259,1,0.8776524785133867,1,0.7290160366904452,1,0.9999992320988148,1,0.9937234933799645,1,0.8315290163988196,1,0.939803024498239,1,0.7581447005070031,1,0.9996054551340978,1,0.5920746011893808,1,0.9999276751697528,1,0.826325215420226,1,0.6966880450003393,1,0.73,1,0.8306089760301429,1,0.8661935569801805,1,0.7903999956767201,1
Graduate,0.23302337143370244,0,0.3202762127742744,0,0.1649698314362389,0,0.16969050226193072,0,0.13307946790812078,0,0.3521535795647693,0,0.2512294278913533,0,0.253511094988686,0,0.2500199633109306,0,0.00024780108649036237,0,0.21761034961055065,0,0.9979927165168138,1,0.2290668154093673,0,0.3134757393938335,0,0.39,0,0.20196648982680582,0,0.24395032454537163,0,0.45188659890615607,0
Dropout,0.7801024002879967,1,0.7046123417516086,1,0.7129184142800085,1,0.6576511223146504,1,0.9999999999606803,1,0.9999991089819597,1,0.6731851600868826,1,0.9204435367240891,1,0.4831431896109365,0,0.21810039551513882,0,0.8389514768800461,1,0.9995683472206646,1,0.826325215420226,1,0.6966880450003393,1,0.81,1,0.8807208551959317,1,0.9199608135693336,1,0.8432074565028804,1
